name,number,parkprop,borough,parkname,parknumber,commboard,council,Location,extant,dedicated,cast,descrip,dimen,sponsor,materials,foundry,fabricator,sculptor,architect,donor,maintain,contractor,Name2,Name3,MaintainedByParks,Installation,Rededication,Cost,Categories,X,Y
Eagles and Prey,427,Y,Manhattan,Central Park,M010,7,6,,Y,1863,1850,"Group of two birds attacking a goat, on a pedestal","Total dimensions H: 12'6"" W: 6' D: 6'",CPC,"Bronze, Quincy light granite",,,Christophe Fratin,,Gordon Webster Burnham,,,,,Y,,,,Animal: other,991858.1665302217,220696.88641181588
Daniel Webster,1692,Y,Manhattan,Central Park,M010,7,6,West Drive at East 72nd Street,Y,"November 25, 1876",circa 1876,"Standing figure with intergral plinth, on pedestal",Figure H:14'; Pedestal H: 20'; Figure weighs 6 tons; Pedestal weighs 125 tons,CPC,"Bronze, Quincy granite","Von Miller's Foundry, Munich, Germany",,Thomas Ball,,Gordon W. Burnham,,,,,Y,,,,Politcal Figure,991428.1349099725,221548.0812317282
One Hundred Seventh Infantry Memorial,1136,Y,Manhattan,Central Park,M010,7,6,Fifth Avenue at 67th Street,Y,"September 29, 1927",1927,"Group of seven figures (over life-size) with integral plinth, on a pedestal","Group H: 9'11"" W: 15'8' D: 10'; Pedestal H: 7'7"" W: 32'8""",CPC,"Bronze, North Jay granite","Fond. G. Vignali, Firenze",,Karl Morningstar Illava,Rogers & Haneman,7th Regiment and 107th Infantry Memorial Committee,,,,,Y,,,50000.00,"World War I, War Memorial",992694.3505533934,219572.43163973093
Albert Bertel Thorvaldsen,1543,Y,Manhattan,Central Park,M010,7,6,5th Avenue at 96th Street,Y,1894,,Portrait statue on pedestal with medallions,"H: 14'11"" W: 5'3"" D: 4'2""",CPC,"Bronze, Danish granite","Lauritz Rasmussen, Kjobenhavn",,Albert B Thorvaldsen,,Danish residents,,,,,Y,,,,"Allegorical, Artist",996435.0235182196,226592.4940431416
Burnett Memorial Fountain,196,Y,Manhattan,Central Park,M010,7,6,Southern end of Conservatory Garden,Y,1936,1926,Standing girl figure and reclining boy figure on pedestal; tablet in pavement,"Group H: 6'5"" W: 3'8"" D: 1' 11''; Pedestal H: 2'11"" W: 3'6"" D: 1' 11""",CPC,Figures--bronze; Pedestal---Milford pink granite; Tablet--slate,Roman Bronze Works,,Bessie (Onahotema) Potter Vonnoh,Aymar Embury II,Frances Hodgson Burnett Memorial Committee,,,,,Y,,,,"Sculpture, Literary Character, Juvenile",997333.7297260612,228251.01205156744
The Falconer,461,Y,Manhattan,Central Park,M010,7,6,West 72nd Street (transverse road),Y,"May 31, 1875",1871,"Standing figure (over life-size) holding bird aloft on integral plinth, on pedestal","Figure H: 12' W: 2'6"" D: 3'10""; Pedestal H: 4'7""  W: 3'6"" D: 4'5""",CPC,"Bronze, Barre granite (polished)","Chevalier Clemente Pape, Florence, Italy",,George Blackwell Simonds,,George Kemp,,,,,Y,,,,"Animal: other, Sculpture",991516.9109791368,221293.59059897065
Duke Ellington Memorial,1781,Y,Manhattan,Central Park,M010,7,6,"Duke Ellington Circle, 110th Street and 5th Avenue",Y,"July 1, 1997",ca. 1997,"Standing figure (heroic scale) before a grand piano on a circular platform supported by three groups of three caryatids on three triform columns, integral plinth, two plaques on pedestal","Ellington figure H: 8'; each caryatid H: 4'; each triform column H: 10'; sculpture total H: 25'; upper plaque H: 5"" W: 10""; lower plaque H: 2¼"" W: 7½""",MAS,"Bronze, red granite, aggregate",Artworks Foundry; contact: Piero L. Mussi,Gilad Ben-Artzi,Robert Graham,,Duke Ellington Memorial Fund,Y,fund established with Central Park Conservancy,,,Y,,,"Approximately $1,000,000","Sculpture, Composer/Musician, Portrait",998274.8265971392,229616.32362540066
Delacorte Clock,378,Y,Manhattan,Central Park,M010,7,6,Main walkway between Zoo and Children's Zoo,Y,"June 24, 1965",1965,Three-tiered mechanical clock; bottom level  has six animal figures marching  around clock tower in igrillwork frame; clock faces above the animals; clock tower topped by  two monkeys and  bell; clock is on top  of arched gateway; two plaques,"H: 18'6"" W: 23'4"" D: 5'9""; Each plaque H: 7"" W: 9""",Delacorte CPC,Animals and bell--bronze; Grillwork--iron; Gateway--brick and limestone,,,Andrea Spadini,Edward C. Embury,George T. Delacorte / George Delacorte Fund,,,,,Y,,,,Animal: other,992240.7468018085,219119.90662615
Christopher Columbus,297,Y,Manhattan,Central Park,M010,7,6,South end of Mall,Y,"May 12, 1892",1892,Standing figure (over life size) on pedestal,"Figure H: 7""; Pedestal H: 8' W: 8' D: 8'",CPC,"Bronze, Rockport granite (polished)","Federicao Masriera, Fundador, Barcelona",,Jeronimo Sunol,Napoleon Le Brun,New Yorkers of the New York Genealogical Society,,,,,Y,,,,"Sculpture, Explorer",991780.5853205472,219788.09295381606
Waldo Hutchins,761,Y,Manhattan,Central Park,M010,7,6,5th Avenue at 72nd Street,Y,1932,,Exedra with sundial,"H: 3'7"" W: 27'3"" D:16'4""",CPC,"Concord white granite, bronze",,,Piccirilli Brothers (exedra); Paul Manship (bronze),Eric Gugler,August S. Hutchins,,,,,Y,,,,Civic Leader,993348.8075778037,220807.81401146948
Samuel Finley Breese Morse,1063,Y,Manhattan,Central Park,M010,7,6,E. 72nd St. and 5th Avenue entrance (formerly in the Mall),Y,"June 10, 1871",,Portrait statue on pedestal,"H: 13' W: 5'6"" D: 5'",CPC,"Bronze, Quincy granite",National Fine Art Foundry (Maurice J. Power),,Byron M. Pickett,,Public subscription,,,,,Y,,,,Scientist/Inventor,993233.0778223872,220735.48869681358
Simon Bolivar Monument,132,Y,Manhattan,Central Park,M010,7,6,Central Park South and Avenue of the Americas,Y,"April 19, 1921",1919,Equestrian statue (heroic scale) on pedestal with four coats of arms,"Statue H: 13'6"" L: 13'; Pedestal H: 20'4"" L: 12'6"" W: 6'1""",CPC,Statue and coats of arms--bronze; Pedestal--black granite (polished),,,Sally Jane Farnham,Clarke & Rapuano,Government of Venezuela,Y,Central Park Conservancy,,,Y,,,,"Sculpture, Civic Leader, Politcal Figure, Animal: equestrian, Politcal Figure",990956.6168241352,218238.8148843944
William T. Stead Memorial,1500,Y,Manhattan,Central Park,M010,7,6,"Fifth Avenue at 91st Street, against park wall",Y,"July 5, 1920",1920,"Bas-relief plaque on stele: plaque has enframed bust in profile facing proper left, festoons of foliage above and beside frame; standing figures, knight and angel (reduced size), support inscription","Plaque H: 4' W: 5'; stele  H: 7'2"" W: 6'",CPC,"Bronze, Indiana limestone",,,George William Frampton,Carrere and Hastings,Committee of the American Stead Memorial,,,,,Y,,,$1600,"Labor, Civic Leader, Allegorical",995845.7212191373,225177.26262164116
Giuseppe Mazzini,992,Y,Manhattan,Central Park,M010,7,6,West Drive opposite 62nd St.,Y,1878,,Portrait bust on pedestal,"H: 14'1"" W: 3'10"" D: 3'10""",CPC,"Bronze, Westerly granite",G. Fisher & Bros Brnz Works,"F. Malnati, Woodlawn, NY",Giovanni Turini,F. Matriati,Italians in the United States of America,,,,,Y,,,,Politcal Figure,990742.712068215,221000.7211059779
Group of Bears,646,Y,Manhattan,Central Park,M010,7,6,"Pat Hoffman Friedman Playground, 5th Avenue and 79th Street",Y,"October 11, 1990",1989,"Group of three on integral, graduated plinth on circular pedestal with five steps; plaque","Group H: 7'4"" W: 6' D: 4'8""; Pedestal H: 1'  Diameter: 20'; Plaque H: 1'4"" W: 9""; Weight: 1,500 pounds",CPC,Group and plaque--bronze; Pedestal--granite,Paul King Foundry,,Paul Howard Manship,Bruce Kelly / David Varnell,Samuel N. Friedman,,,,,Y,,,,Animal: other,994236.1935983002,222557.67173223197
Dancing Goat,591,Y,Manhattan,Central Park,M010,7,6,Central Park Wildlife Center; niche at east end of southern exterior wall,Y,1937,1937,Goat standing on hind legs on integral plinth on pedestal in center of fountain basin,"H: 6'6""",CPC,Bronze,,,Frederick George Richard Roth,,,,,,,Y,,,,"Animal: other, Sculpture",992027.971636802,218823.4209986478
Honey Bear,97,Y,Manhattan,Central Park,M010,7,6,Central Park Zoo; in exterior wall niche at northeast corner of zoo near Delcorte Clock,Y,"May 17, 1937",ca. 1937,Fountain figure on ornamented integral plinth,"H: 6'6""",CPC,Bronze,,,Frederick George Richard Roth,,,,,,,Y,,,,"Sculpture, Animal: other",992218.3085264713,219153.33798973262
Alexander Hamilton,662,Y,Manhattan,Central Park,M010,7,6,"East Drive, opposite 83rd Street",Y,"November 20, 1880",1880,"Standing figure (over life-size) on intergral plinth, on pedestal","Total H: 15'5"" W: 7'10"" D: 7'10""",CPC,Westerly granite,,,Carl H. Conrads,,"John C. Hamilton, a grandson",,,,,Y,,,,"War Memorial, Revolutionary War",994064.4272095561,223826.73185814917
Victor Herbert,707,Y,Manhattan,Central Park,M010,7,6,"Mall, across from Bandshell",Y,1927,ca. 1927,Bust on pedestal,"Total H: 11'7"" W: 4'8"" D: 4'3""",CPC/SF,"Bronze, Stony Creek granite",,,Edmond Thomas Quinn,,"American, Society of Composers, Authors and Publishers",,,,,Y,,,,Composer/Musician,991944.0006761402,220790.42559480667
Sir Walter Scott,1411,Y,Manhattan,Central Park,M010,7,6,Mall,Y,"November 27, 1872",,Portrait statue on pedestal,"H: 18' W: 13'6"" D: 5'6""",CPC,"Bronze, Aberdeen granite",,,Sir John Steell,,Resident Scotsmen,,,,,Y,,,15000.00,Writer,991875.5070467144,219870.4622116387
Bethesda Fountain,114,Y,Manhattan,Central Park,M010,7,6,Bethesda Terrace,Y,"May 31, 1873",ca. 1873,"Fountain with two basins, upper basin surmounted by angel figure (heroic scale), four putti (life size) between upper and lower basins, in a circular pool",H: 25'; Diameter of lower basin 15'; Diameter of pool 96',CPC,"Figures--bronze, Lower basin--blue stone; Pool--Westerly granite (polished)","Ferdinand von Muller,","Royal Foundry, Munich",Emma Stebbins,,City of New York,,,Angel of the Waters,,Y,,,53945.00,"Sculpture, Allegorical, Women",992326.8788473904,221380.3952153921
Seal of the State of New York (aka Excelsior),1780,Y,Manhattan,Central Park,M010,7,6,"Under exterior staircase, front entrance, the Arsenal",Y,ca. 1930,ca. 1900,"Eagle atop shield on integral plinth between two female figures, each on integral plinth","Eagle h 2'10½"" x l 3' x w 4""; each figure h 2'3½"" x l 11½"" x w 4"", 58"" across (attached to stone)",CPC,"Cast iron, granite",,,,,,,,,,Y,,,,Allegorical,992227.4285869747,218931.47163556516
Thomas Moore,1056,Y,Manhattan,Central Park,M010,7,6,"Poet's Corner, East Driv, near 60th Street",Y,1879,,Portrait bust on pedestal,"Overall H: 12' 9"" W: 4'9"" D: 4'9""",CPC,"Bronze, Conway green granite",Geo. Fischer & Bros,,D.B. Sheahan,,Friendly Sons of St. Patrick,,,,,Y,,,,Writer,991669.3394800574,218344.81401622295
Imagine,764,Y,Manhattan,Central Park,M010,7,6,"Strawberry Fields, Central Park West and 72nd Street",Y,"October 9, 1985",1985,"Mosaic roundel with starburst design set in pavement, plaque set in rock outcropping about a hundred yards east of roundel","Circumference: 34'3"" (approximate)",CPC,"Neapolitan black and white marble, bronze",,,,Bruce Kelly,"Gift of the city of Naples, Italy",,,,,Y,,,,Composer/Musician,990927.4639953077,221870.5799305588
William Shakespeare,1431,Y,Manhattan,Central Park,M010,7,6,Literary Mall,Y,"April 23, 1872",,Portrait statue on pedestal,"H: 17'11"" W: 8' D: 8'",CPC Blount endowment,"Bronze, Westerly granite, Rockport granite",,,John Quincy Adams Ward,,"Demar Barnes, Public subscription",,,,,Y,,,20000.00,Writer,991934.7562720478,219734.76727305353
Christopher Columbus,297,Y,Manhattan,Central Park,M010,7,6,South end of Mall,Y,"May 12, 1892",1892,Standing figure (over life size) on pedestal,"Figure H: 7""; Pedestal H: 8' W: 8' D: 8'",CPC,"Bronze, Rockport granite (polished)","Federicao Masriera, Fundador, Barcelona",,Jeronimo Sunol,Napoleon Le Brun,New Yorkers of the New York Genealogical Society,,,,,Y,,,,"Sculpture, Explorer",991796.8493956327,219761.22096030414
Christopher Columbus,297,Y,Manhattan,Central Park,M010,7,6,South end of Mall,Y,"May 12, 1892",1892,Standing figure (over life size) on pedestal,"Figure H: 7""; Pedestal H: 8' W: 8' D: 8'",CPC,"Bronze, Rockport granite (polished)","Federicao Masriera, Fundador, Barcelona",,Jeronimo Sunol,Napoleon Le Brun,New Yorkers of the New York Genealogical Society,,,,,Y,,,,"Sculpture, Explorer",991796.8493956327,219761.22096030414
John Purroy Mitchel,1045,Y,Manhattan,Central Park,M010,7,6,Fifth Avenue at 90th Street,Y,1928,,"Stele, bust, ornamental wall","H: 12'6"" W: 12'",CPC,"North Jay granite, bronze, slate",,,Adolph Alexander Weinman,"Thomas Hastings, Donn Barber",Mitchel Memorial Committee,,,,,Y,,,,Politcal Figure,995561.2322868109,225059.8415966481
The Indian Hunter,769,Y,Manhattan,Central Park,M010,7,6,South end of the Mall,Y,February 4. 1869,1866,Figure (over life-size) and dog on pedestal,"H: 10' W: 5' D: 6'3""",CPC,Bronze; Rockport granite (polished),"L.A. Amouroux, N.Y.",,John Quincy Adams Ward,,Subscription by artists and art patrons,,,,,Y,,,,"Sculpture, Animal: other",991677.2659733891,219975.4807024002
Columbus Monument,299,Y,Manhattan,Central Park,M010,7,6,Columbus Circle,Y,"October 12, 1892",1892,"Standing figue (colossal scale) on rostral column on pedestal, base, and plinth; pedestal figure of a winged youth examining a globe; two bas-reliefs on base",Total: 76'; Figure H: 13'; Column H: 35'; Pedestal H: 28',CPC,Figures--Carrara marble; Column--granite; Rostra and bas-reliefs--bronze,"Nelli, Rome",,Gaetano Russo,,"Italian Americans led by Carlo Barsotti, publisher, Il Progresso  Italo Americano",,,,,Y,,,,"Sculpture, Explorer",989263.6917323023,219104.90567189455
Columbus Monument,299,Y,Manhattan,Central Park,M010,7,6,Columbus Circle,Y,"October 12, 1892",1892,"Standing figue (colossal scale) on rostral column on pedestal, base, and plinth; pedestal figure of a winged youth examining a globe; two bas-reliefs on base",Total: 76'; Figure H: 13'; Column H: 35'; Pedestal H: 28',CPC,Figures--Carrara marble; Column--granite; Rostra and bas-reliefs--bronze,"Nelli, Rome",,Gaetano Russo,,"Italian Americans led by Carlo Barsotti, publisher, Il Progresso  Italo Americano",,,,,Y,,,,"Sculpture, Explorer",989263.6917323023,219104.90567189455
Balto,75,Y,Manhattan,Central Park,M010,7,6,"The Dene, west of 5th Avenue and East 67th Street",Y,1925,ca. 1925,Canine figure on integral plinth on boulder with relief tablet mounted on front,"Figure W: 4'6"" D: 2'6"";  tablet: H: 2'6¼"" W: 5'; Total H: 9'","CPC; $100,000 endowment",Figure--bronze; Tablet--slate; Natural boulder--Manhattan schist,,,Frederick George Richard Roth,,Balto Monument Committee,,,,,Y,,,"$7,500","Sculpture, Animal: other",992279.1456751376,219800.92626146972
Arthur Brisbane Monument,151,Y,Manhattan,Central Park,M010,7,6,Fifth Avenue at 101st Street,Y,1939,ca. 1939,Shaft with bench beside it (all one piece) with sunken bas-relief medallion above the bench,"H: 8' W: 14'10"" D: 2'10""",CPC,Swenson's pink granite,,,"Richmond Barthe, 1901-1989","Shreve, Lamb and Harmon",Friends,,,,,Y,,,,"Sculpture, Civic Leader",997195.1447013915,227681.39376822114
Dr. James Marion Sims,1448,N,Manhattan,Central Park,,7,6,"Green-Wood Cemetery, Dale and Cypress Avenues",Y,"October 20, 1894.",1892,"Standing figure with integral plinth on pedestal with supporting piers right and left, each bearing an inscribed roundel on its face","Figure H: 8'9"" W: 3' D: 2'11""; Pedestal approximate H: 4½' W: 6'9½""; each pier H: 8' W: 3'9"" D: 4'",CPC,"Bronze; North Jay, Maine granite",,,Ferdinand von Miller II,,"Subscription organized by ""Medical Record""",,,,,N,,,"$10,000",Physician,986537.5682475567,175195.70346422493
Seventh Regiment Memorial,1427,Y,Manhattan,Central Park,M010,7,6,West Drive opposite 67th St.,Y,1870,,"Statue on pedestal, 4 bronze roundels","21'4""h x 10'6""w x 10'6'd",CPC,"Bronze, Barre granite","R. Wood & Co., Phila","Casoni & Isola, N.Y.","John Quincy Adams Ward, 1869",Richard Morris Hunt,"7th Regiment National Guard, State of New York",,,,,Y,,,,"Civil War, War Memorial",990765.349162057,221171.48880906403
Richard Morris Hunt Memorial,756,Y,Manhattan,Central Park,M010,7,6,"Perimeter wall, Fifth Avenue at 70th Street",Y,1898,,Bust (over life-size) on stele in an arc-shaped space formed by an exedra  whose back supports columns and a cornice; at each end of the exedra is a standing female figure; mosaic floor; approached by two steps,"Total H: 13' W: 31'; Bust H: 2'6""; Figure proper right H: 6'6""; Figure proper left H: 6'7½""",CPC,"Bust and figures--bronze; exedra, columns, etc.--Westerly granite,",Henry Bonnard Bronze Co.,,Daniel Chester French,Bruce Price,Art Societies of New York,,,,,Y,,,,Artist,993169.4483564645,220393.23216347396
Hans Christian Andersen,36,Y,Manhattan,Central Park,M010,7,6,"On raised plaza west of Conservatory Lake, East 74th Street and East Drive",Y,"September 18, 1956",1956,"Seated figure (heroic scale) on bench, cygnet figure","Figure H: 9'6"" W: 6'1"" D: 6'2""; Bench H: 3'3"" W: 21'2"" D: 17'4""; Cygnet figure H: 1'10½""",CPC,Figures--bronze; Bench--Stony Creek pink granite (polished),Modern Art Foundry,,Georg John Lober,Otto F. Langmann (Bench),Danish American Women's Association,,,,,Y,,,"$73,585 (estimated)","Sculpture, Writer, Literary Character, Juvenile, Animal: other",993188.4240403026,221439.44759072363
U.S.S. Maine National Monument,966,Y,Manhattan,Central Park,M010,7,6,"59th Street and Central Park West, Columbus Circle",Y,"May 30, 1913","September 1, 1912","Pylon fountain embellished with colossal group, nine figures (heroic scale), and frieze; three plaques (two large, one small); four gate houses, each with a door and three low reliefs","Total H: 63' L: 74' W: 55'; Pylon face W: 17'9"" at bottom, 15' at top; side, W: 15'6"" at bottom, 13' at top; Base L 21'6"" W: 19'; Colossal group H: 20'; Large plaques H: 1'1"" W: 1'3""; Small plaque H: 6"" W: 10""; Each gate house H: 12'6"" L: 9' W: 9'",CPC,Pylon--Maine granite; colossal group--bronze (gilded); figures--Tennessee pink marble; plaques--bronze; gate houses--marble; gate house doors--bronze; gate house reliefs--granite,"Jno. Williams Inc., Bronze Foundry, NY (""In Memoriam"" plaque)",,"Attilio Piccirilli (colossal group and figures); Charles Keck (""In Memoriam"" plaque)",Harold Van Buren Magonigle,National Maine Monument Fund (raised by public subscription); United Spanish War Veterans (Chidwick plaque only),,,,,Y,,,"$165,000","Spanish-American War, War Memorial, Animal: equestrian",989504.7043736428,219163.98560622334
Alice in Wonderland,13,Y,Manhattan,Central Park,M010,7,6,"76th Street and 5th Avenue, near Conservatory Lake",Y,"May 7, 1959",1959,Group (heroic scale),"Group H: 9'7"" D: 14'6""; Plinth H: 1'  Diameter: 34'; Esplanade Diameter: 67'; Seven bronze tablets each H: 1'9"" W: 4'",CPC,"Bronze, Chelmsford granite",Modern Art Foundry,,José de Creeft,F. Texidor; designer--Hideo Sasaki,George and Margarita Delacorte,,,,,Y,,,,"Animal: other, Juvenile, Literary Character, Sculpture, Women",993469.1321403086,221559.83120822906
King Wladyslaw Jagiello,793,Y,Manhattan,Central Park,M010,7,6,,Y,"July 15, 1945",1939,Equestrian figure (over life-size) on pedestal on base on terrace,"Figure H: 14'8""; Pedestal H: 10' W: 7'6"" D: 11' 10""; Base D: 7'6""- 13'10""; Terrace W: 37' D: 43'",CPC,Bronze; Milford pink granite,"Fon, FM, Italy",,Stanislaw K. Ostrowski,Aymar Embury II,Polish government in exile,,,,,Y,,,,Animal: equestrian,993473.9057528079,223059.543431893
Alexander von Humboldt,1637,Y,Manhattan,Central Park,M010,7,6,Central Park West and 77th Street,Y,"September 14, 1869",1869,Bust (over life-size) on pedestal,"Bust H: 4'3""; overall H: 13' W: 6'10"" D: 6'",CPC,"Bronze, Westerly granite","Georg Howaldt & Sohn, Braunschweig",,Gustaf Blaeser,,Humboldt Memorial Association,,,,,Y,,,,"Scientist/Inventor, Explorer",991628.4622652233,223265.5495815575
City Employees War Memorial,250,Y,Manhattan,Central Park,M010,7,6,"West of north end of Mall, opposite Naumberg Bandshell",Y,1926,ca 1926,"Flagstaff supported by sleeve ornamented with leaves and ending in four medallions in relief and four standing eagles with outspread wings, on pedestal","Sleeve H: 4'11"" W: 3'2"" D: 3'2""; Pedestal H: 6'1"" W: 7'6"" D: 7'6""",CPC,Flagstaff--iron; Sleeve--bronze; Pedestal--Deer Isle granite,,,Georg John Lober,Otto Langman,Mrs. Charles Augustine Robinson,,,,,Y,,,"$14,000","Sculpture, War Memorial, Public Servant",992012.7098563015,221021.7991478145
Jose Julian Marti,982,Y,Manhattan,Central Park,M010,7,6,Central Park South at Avenue of the Americas,Y,"May, 1965",1959,Equestrian statue (over life-size) on integral plinth on pedestal,"Statue H: 18'6"" W: 6'5"" D: 12'; Pedestal H: 16'5"" W: 8'  D: 14'",CPC,"Bronze, dark Barre granite","Domico Scoma Bronze Works, Queens, NY",,Anna Vaughn Hyatt Huntington,Clarke & Rapuano,Anna Vaughn Hyatt  Huntington; Government of Cuba (pedestal),,,,,Y,,,,"Animal: equestrian, Civic Leader, Politcal Figure, Writer, Politcal Figure",990874.8076045513,218376.80837480724
Fitz Greene Halleck,658,Y,Manhattan,Central Park,M010,7,6,East side of Mall,Y,"May 15, 1877",1876,"Seated figure (over life-size) on integral plinth, on pedestal","Total H: 13'5"" W: 5'5"" L: 6'5""",CPC,"Bronze, Westerly granite",,,James Wilson Alexander MacDonald,,Public subscription .,,,,,Y,,,,Writer,991968.7007579654,220056.75711464882
Ludwig Van Beethoven,1634,Y,Manhattan,Central Park,M010,7,6,NW of mall - opposite bandshell,Y,"July 22, 1884",,"Bust, allegorical figure on pedestal","H: 17'2"" W: 6'7"" D: 6'7""",CPC,"Bronze, polished barre granite",,,"Henry Baerer copy, Hagens orig",,Beethoven Mannerchor,,,,,Y,,,6000.00,Composer/Musician,992061.6844958812,220890.65505313873
Robert Burns,197,Y,Manhattan,Central Park,M010,7,6,South end of Literary Walk,Y,"October 2, 1880",ca. 1880,"Seated figure (over life-size) with scroll and plough at feet, on pedestal","H: 14'10"" W: 10' D: 10'",CPC,Figure--bronze; Pedestal--brick core topped and faced with granite,,,Sir John Steell,,Scottish-Americans,,,,,Y,,,,"Sculpture, Writer",991864.4227513075,219884.4251102209
Christopher Columbus,297,Y,Manhattan,Central Park,M010,7,6,South end of Mall,Y,"May 12, 1892",1892,Standing figure (over life size) on pedestal,"Figure H: 7""; Pedestal H: 8' W: 8' D: 8'",CPC,"Bronze, Rockport granite (polished)","Federicao Masriera, Fundador, Barcelona",,Jeronimo Sunol,Napoleon Le Brun,New Yorkers of the New York Genealogical Society,,,,,Y,,,,"Sculpture, Explorer",991779.7172120512,219788.09295381606
